Reviewer Name,Review Date,Review Content
raymondyeoweiheng,1/22/2024,"Seller bubble wrapped it quite okay. Otherwise, nothing much to say. Definitely genuine apple product as all function from apple already tested, able to use. Worth to purchase here with RM600+ discount."
syapikrazak,1/4/2024,"Order masa Promotion 1.1 sangat2 berbaloi. Iphone 15 pro 256GB, in store switch RM5,999. I dapat jimat RM540. Hanya RM5,458. Banyak sangat jimat. Delivery pun pantas 3 hari je. Recommended!"
c*****9,3/4/2024,"Seller mmg terbaik, very responsive chat..tnya mcm2 pn reply jgk, delivery sgt cpt..then beli time promo dskaun almost rm700...1st beli online fon hrga ribu2...but anyway trusted seller👍👍👍"
d*****2,11/4/2023,Tq seller. The fastest delivery I had. The item is genuine Apple product from Switch store. The packaging well bubble wrapped.
fizzati04,12/17/2023,"Look pretty similar with iphone 14pro but 15 pro has slightly curved edged. Usb type C charger can fit macbook, ipad. Fast delivery."
hayadihdih,3/15/2024,"Performance iphone always top notch! Undeniable! My first iphoneee, finally! No dent or thumbprint at all! So excited to received the parcel! Bought it on 12/3 midnight, received on 14/3! Quite fast. Thanks to both seller and courier. However, hopefully seller can consider not to put sender details ‘name’ as ‘Switch’. Quite riskyyyy!! Bubble wrap is goodddd"
m*****0,3/15/2024,"Alhamdulillah selamat sampai ke Sabah dalam keadaan yang elok, very trusted seller, box still sealed & original..recommended, plg best dapat baucer lg"
melcht,2/9/2024,"Very fast delivery- arrived within 2 days!!! 
Box was only wrapped with bubble wrap & thankfully the phone n box came in good condition. Overall satisfied with my purchase 🤗🤗"
f*****7,2/8/2024,Barang sampai dengan selamat . Thanks seller apa yg direquest seller tunaikan. Thanks jugak kepada abam curier sbb amanah dalam kerja. Harap performance mantopp laa..
b*****y,1/6/2024,I used Iphone 11 before so for me an upgrade is a must  but you can choose either iphone 15 or 15plus. I think the differences are not that obvious.
s*****a,1/10/2024,"Fast shipping by seller and Poslaju. Good looking color, fast response phone, a little heavy, great screen color, perfect size for small hand."
filaiskandar,10/31/2023,The shipping is super duper fast. Ordered yesterday and received today 🥹❤️ But the downside to it is the delivery man put my parcel on the tembok. Imagine a 5k purchase was put outside of your house...luckily nothing happened to it. Packaging is fine. Thanks Switch for the fast delivery!
princepitt,10/23/2023,Nasib Fon sampai keadaan selamat. Puas hati beli di online switch. Penat walk cari switch mall warna N.T lambat pre order 2-3 minggu tapi online switch proses secepat dalam 1 minggu je. 15 pro tak ada masalah semua ok je. Terbaik switch 👍🏾🛜
ruslialias,11/15/2023,Superb quality by Apple. Superb delivery by Switch. Got extra shopee coins during 11.11 sale. Thank you very much.. will buy again next time. Tq cery much.
t*****2,3/8/2024,"Waiting 3 days , which is pretty fast , phone wasn't packed too good but overall top notch quality and service by the seller and they courier , nice seller , will inform you if there is delay or not"
h*****d,10/20/2023,good item and quality. Hoping to buy it again in the future. Customer service is helpful and able to help with any inquiry.
v*****2,12/22/2023,"Very fast delivery to E.Malaysia in 4 days. Courier service could be better, the delivery person put on arm chair instead flat on the chair while the chair is empty. Overall good products and great value with discounted vouchers stacked."
r*****u,1/28/2024,"About the product, u can search. But for the packaging and delivery, switch did it perfectly. No need to worry."
ain_syafiqah_binti_yusuf,10/1/2023,Fon sampai dalam keadaan selamat..maceh akak ninja jalankan amanah ini dengan baik
g*****1,1/24/2024,Thank you seller. Fast delivery n fast respond from seller. My cat loves it. We will use it to make more videos 🥰
l*****a,10/11/2023,"Ordered 6 Oct
Received 11 Oct
All good and works very well
Thanksss for the fast shipping 💙"
f*****u,10/21/2023,"Received in good condition 🩶 even katanya preorder 3weeks onwards, hampir nak cancel sebab customer service, huhu. nice👍🏻 very recommend warna Natural 🥰

Order 14/10
Ship out 18/10 
Delivered 19/10"
ariffazuad,1/5/2024,Harga murah masa beli ada sale. Original dr apple switch
s*****7,10/27/2023,"Selamat sampai penghantaran, packaging, product quality, performance semuanya baik… recommend tq…."
farahamalinaa,3/18/2024,"Alhamdulillah berpuas hati ! All function well , and receive with good packing ."
n*****n,1/16/2024,"Cuma terkejut abam dhl letak kat atas tembok gitu je. Nasib baik la follow up kat whatsapp. Penghantaran laju. Order semalam tengahari, hari ni sampai dengan selamat. Bubble wrap selapis saja. No free gift mcm dalam review2 yg lain. Mungkin nasib je kot. Ok done! Thanks."
naddynadyany,3/3/2024,Tqsm pack with care . Love it so much . So happy original and wirh 1year warranty
f*****s,3/13/2024,"Parcel sampai dengan selamat, item dibungkus dengan rapi dan tiada kerosakan
Dapat harga rm4700 
Upgrade dari ip xr ke ip 15 pro"
c*****i,1/4/2024,Genuine iPhone 15 pro with fast and safe delivery to the doorstep
khairulrossi,1/29/2024,Terbaik. Tq Switch Plaza Shah Alam. Naseb ada stok. Kalau tidak nk kena tunggu lagi
